StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,AU1_1,AU1_2,AU2_1,AU2_2,AU3_1,AU3_2,AU4_1,AU4_2,AU5_1,AU5_2,age,gender,Q13,art expirence,ai expirence,BL1_1,BL1_2,BL2_1,BL2_2,BL3_1,BL3_2,BL4_1,BL4_2,BL5_1,BL5_2,BU1_1,BU1_2,BU2_1,BU2_2,BU3_1,BU3_2,BU4_1,BU4_2,BU5_1,BU5_2,AL1_1,AL1_2,AL2_1,AL2_2,AL3_1,AL3_2,AL4_1,AL4_2,AL5_1,AL5_2,Q_DataPolicyViolations
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you consent to having your answers recorded anonymously for a study conducted for a class at the University of Texas at Austin,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Please Share Your Age,Gender,Education Level,Artistic Experience,AI Experience,Human Made 1                                           AI Made 2 - Creativity of 1,Human Made 1                                           AI Made 2 - Creativity of 2,Human Made 1                                      AI Made 2 - Creativity of 1,Human Made 1                                      AI Made 2 - Creativity of 2,AI Made 1                                                Human Made 2 - Creativity of 1,AI Made 1                                                Human Made 2 - Creativity of 2,AI Made 1                                       Human Made 2 - Creativity of 1,AI Made 1                                       Human Made 2 - Creativity of 2,Human Made 1                                     AI Made 2 - Creativity of 1,Human Made 1                                     AI Made 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Image 1                                                Image 2 - Creativity of 1,Image 1                                                Image 2 - Creativity of 2,Human Made Image 1                          AI Made Image 2 - Creativity of 1,Human Made Image 1                          AI Made Image 2 - Creativity of 2,AI Made 1                                                Human Made 2 - Creativity of 1,AI Made 1                                                Human Made 2 - Creativity of 2,AI Made 1                                      Human Made 2 - Creativity of 1,AI Made 1                                      Human Made 2 - Creativity of 2,Human Made 1                                          AI Made 2 - Creativity of 1,Human Made 1                                          AI Made 2 - Creativity of 2,Human Made 1                                   AI Made 2 - Creativity of 1,Human Made 1                                   AI Made 2 - Creativity of 2,Q_DataPolicyViolations
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID17""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID18""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID42_1""}","{""ImportId"":""QID42_2""}","{""ImportId"":""QID43_1""}","{""ImportId"":""QID43_2""}","{""ImportId"":""QID44_1""}","{""ImportId"":""QID44_2""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID45_2""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID46_2""}","{""ImportId"":""QID27_1""}","{""ImportId"":""QID27_2""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_2""}","{""ImportId"":""QID29_1""}","{""ImportId"":""QID29_2""}","{""ImportId"":""QID30_1""}","{""ImportId"":""QID30_2""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID37_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID38_1""}","{""ImportId"":""QID38_2""}","{""ImportId"":""QID39_1""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID40_1""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID41_1""}","{""ImportId"":""QID41_2""}","{""ImportId"":""Q_DataPolicyViolations""}"
11/11/2025 13:19,11/11/2025 13:26,0,128.62.190.181,100,434,1,11/11/2025 13:26,R_1Lq9U4e6GYOblJF,,,,,30.2887,-97.7398,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
11/11/2025 13:45,11/11/2025 13:47,0,128.62.78.119,100,123,1,11/11/2025 13:47,R_3yugnAY88E4sThT,,,,,30.2887,-97.7398,anonymous,EN,1,7,2,4,6,5,7,4,4,6,5,2,2,3,3,2,5,6,5,4,6,5,6,6,3,5,,,,,,,,,,,,,,,,,,,,,
11/11/2025 13:45,11/11/2025 13:47,0,166.198.198.40,100,152,1,11/11/2025 13:47,R_6Wqut6vZRUsNRQJ,,,,,30.4427,-97.6805,anonymous,EN,1,5,3,6,6,2,6,3,5,3,7,2,2,2,1,5,2,4,3,5,5,3,5,3,3,5,,,,,,,,,,,,,,,,,,,,,
11/11/2025 13:45,11/11/2025 13:47,0,172.56.92.222,100,173,1,11/11/2025 13:47,R_6hH9UZdjNxsuxJE,,,,,30.2887,-97.7398,anonymous,EN,1,,,,,,,,,,,1,2,3,2,4,,,,,,,,,,,4,5,2,6,5,3,5,3,4,6,3,5,,5,3,6,2,5,3,6,
11/11/2025 13:56,11/11/2025 13:58,0,128.62.64.47,100,141,1,11/11/2025 13:58,R_61npoDNeBsY58pb,,,,,30.2881,-97.764,anonymous,EN,1,,,,,,,,,,,2,1,3,2,5,,,,,,,,,,,3,5,2,5,5,1,3,3,3,2,4,2,4,2,4,2,2,4,5,2,
11/11/2025 14:00,11/11/2025 14:01,0,128.62.71.20,100,63,1,11/11/2025 14:01,R_6rJcG07hgMZEwTM,,,,,30.2881,-97.764,anonymous,EN,1,,,,,,,,,,,2,1,3,3,5,,,,,,,,,,,3,7,7,2,7,4,7,4,2,7,,,,,,,,,,,
11/11/2025 13:58,11/11/2025 14:02,0,128.62.42.57,100,229,1,11/11/2025 14:02,R_65KH18T6oo1vBwB,,,,,30.2887,-97.7398,qr,EN,1,4,7,6,2,5,4,6,6,4,4,2,1,3,1,5,3,6,3,6,4,4,5,3,3,4,,,,,,,,,,,,,,,,,,,,,
11/11/2025 13:58,11/11/2025 14:03,0,167.17.67.176,100,347,1,11/11/2025 14:03,R_6Iz3cber37ReyHq,,,,,32.7797,-96.8022,qr,EN,1,4,5,5,4,3,4,4,6,3,5,2,1,3,1,5,3,6,4,5,4,5,4,5,3,5,,,,,,,,,,,,,,,,,,,,,
